jband,k,e
0,0.000,-43.87
0,0.005,-43.87
0,0.009,-43.87
0,0.014,-43.87
0,0.019,-43.87
0,0.024,-43.87
0,0.028,-43.87
0,0.033,-43.87
0,0.038,-43.87
0,0.042,-43.87
0,0.047,-43.87
0,0.052,-43.87
0,0.057,-43.87
0,0.061,-43.87
0,0.066,-43.87
0,0.071,-43.87
0,0.075,-43.87
0,0.080,-43.87
0,0.085,-43.87
0,0.090,-43.87
0,0.094,-43.87
0,0.099,-43.87
0,0.104,-43.87
0,0.108,-43.87
0,0.113,-43.87
0,0.118,-43.87
0,0.123,-43.87
0,0.127,-43.87
0,0.132,-43.87
0,0.137,-43.87
0,0.141,-43.87
0,0.146,-43.87
0,0.151,-43.87
0,0.156,-43.87
0,0.160,-43.87
0,0.165,-43.87
0,0.170,-43.87
0,0.174,-43.87
0,0.179,-43.87
0,0.184,-43.87
0,0.189,-43.87
0,0.193,-43.87
0,0.198,-43.87
0,0.203,-43.87
0,0.207,-43.87
0,0.212,-43.87
0,0.217,-43.87
0,0.222,-43.87
0,0.226,-43.87
0,0.231,-43.87
0,0.236,-43.87
0,0.240,-43.87
0,0.245,-43.87
0,0.250,-43.87
0,0.255,-43.87
0,0.259,-43.87
0,0.264,-43.87
0,0.269,-43.87
0,0.273,-43.87
0,0.278,-43.87
0,0.283,-43.87
0,0.287,-43.87
0,0.292,-43.87
0,0.297,-43.87
0,0.302,-43.87
0,0.306,-43.87
0,0.311,-43.87
0,0.316,-43.87
0,0.320,-43.87
0,0.325,-43.87
0,0.330,-43.87
0,0.334,-43.87
0,0.339,-43.87
0,0.344,-43.87
0,0.348,-43.87
0,0.353,-43.87
0,0.358,-43.87
0,0.362,-43.87
0,0.367,-43.87
0,0.372,-43.87
0,0.376,-43.87
0,0.381,-43.87
0,0.386,-43.87
0,0.391,-43.87
0,0.395,-43.87
0,0.400,-43.87
0,0.405,-43.87
0,0.409,-43.87
0,0.414,-43.87
0,0.419,-43.87
0,0.423,-43.87
0,0.428,-43.87
0,0.433,-43.87
0,0.437,-43.87
0,0.442,-43.87
0,0.447,-43.87
0,0.451,-43.87
0,0.456,-43.87
0,0.461,-43.87
0,0.466,-43.87
0,0.470,-43.87
0,0.475,-43.87
0,0.480,-43.87
0,0.484,-43.87
0,0.489,-43.87
0,0.493,-43.87
0,0.498,-43.87
0,0.503,-43.87
0,0.507,-43.87
0,0.512,-43.87
0,0.517,-43.87
0,0.521,-43.87
0,0.526,-43.87
0,0.530,-43.87
0,0.535,-43.87
0,0.540,-43.87
0,0.544,-43.87
0,0.549,-43.87
0,0.553,-43.87
0,0.558,-43.87
0,0.563,-43.87
0,0.567,-43.87
0,0.572,-43.87
0,0.577,-43.87
0,0.581,-43.87
0,0.586,-43.87
0,0.590,-43.87
0,0.595,-43.87
0,0.600,-43.87
0,0.604,-43.87
0,0.609,-43.87
0,0.614,-43.87
0,0.618,-43.87
0,0.623,-43.87
0,0.627,-43.87
0,0.632,-43.87
0,0.637,-43.87
0,0.641,-43.87
0,0.646,-43.87
0,0.651,-43.87
0,0.655,-43.87
0,0.660,-43.87
0,0.665,-43.87
0,0.669,-43.87
0,0.674,-43.87
0,0.679,-43.87
0,0.684,-43.87
0,0.688,-43.87
0,0.693,-43.87
0,0.698,-43.87
0,0.702,-43.87
0,0.707,-43.87
0,0.712,-43.87
0,0.716,-43.87
0,0.721,-43.87
0,0.726,-43.87
0,0.730,-43.87
0,0.735,-43.87
0,0.740,-43.87
0,0.744,-43.87
0,0.749,-43.87
0,0.754,-43.87
0,0.759,-43.87
0,0.763,-43.87
0,0.768,-43.87
0,0.773,-43.87
0,0.777,-43.87
0,0.782,-43.87
0,0.787,-43.87
0,0.791,-43.87
0,0.796,-43.87
0,0.801,-43.87
0,0.805,-43.87
0,0.810,-43.87
0,0.815,-43.87
0,0.819,-43.87
0,0.824,-43.87
0,0.829,-43.87
0,0.834,-43.87
0,0.838,-43.87
0,0.843,-43.87
0,0.848,-43.87
0,0.852,-43.87
0,0.857,-43.87
0,0.861,-43.87
0,0.866,-43.87
0,0.871,-43.87
0,0.875,-43.87
0,0.880,-43.87
0,0.885,-43.87
0,0.889,-43.87
0,0.894,-43.87
0,0.898,-43.87
0,0.903,-43.87
0,0.908,-43.87
0,0.912,-43.87
0,0.917,-43.87
0,0.921,-43.87
0,0.926,-43.87
0,0.931,-43.87
0,0.935,-43.87
0,0.940,-43.87
0,0.945,-43.87
0,0.949,-43.87
0,0.954,-43.87
0,0.958,-43.87
0,0.963,-43.87
0,0.968,-43.87
0,0.972,-43.87
0,0.977,-43.87
0,0.982,-43.87
0,0.986,-43.87
0,0.991,-43.87
0,0.995,-43.87
1,0.000,-43.87
1,0.005,-43.87
1,0.009,-43.87
1,0.014,-43.87
1,0.019,-43.87
1,0.024,-43.87
1,0.028,-43.87
1,0.033,-43.87
1,0.038,-43.87
1,0.042,-43.87
1,0.047,-43.87
1,0.052,-43.87
1,0.057,-43.87
1,0.061,-43.87
1,0.066,-43.87
1,0.071,-43.87
1,0.075,-43.87
1,0.080,-43.87
1,0.085,-43.87
1,0.090,-43.87
1,0.094,-43.87
1,0.099,-43.87
1,0.104,-43.87
1,0.108,-43.87
1,0.113,-43.87
1,0.118,-43.87
1,0.123,-43.87
1,0.127,-43.87
1,0.132,-43.87
1,0.137,-43.87
1,0.141,-43.87
1,0.146,-43.87
1,0.151,-43.87
1,0.156,-43.87
1,0.160,-43.87
1,0.165,-43.87
1,0.170,-43.87
1,0.174,-43.87
1,0.179,-43.87
1,0.184,-43.87
1,0.189,-43.87
1,0.193,-43.87
1,0.198,-43.87
1,0.203,-43.87
1,0.207,-43.87
1,0.212,-43.87
1,0.217,-43.87
1,0.222,-43.87
1,0.226,-43.87
1,0.231,-43.87
1,0.236,-43.87
1,0.240,-43.87
1,0.245,-43.87
1,0.250,-43.87
1,0.255,-43.87
1,0.259,-43.87
1,0.264,-43.87
1,0.269,-43.87
1,0.273,-43.87
1,0.278,-43.87
1,0.283,-43.87
1,0.287,-43.87
1,0.292,-43.87
1,0.297,-43.87
1,0.302,-43.87
1,0.306,-43.87
1,0.311,-43.87
1,0.316,-43.87
1,0.320,-43.87
1,0.325,-43.87
1,0.330,-43.87
1,0.334,-43.87
1,0.339,-43.87
1,0.344,-43.87
1,0.348,-43.87
1,0.353,-43.87
1,0.358,-43.87
1,0.362,-43.87
1,0.367,-43.87
1,0.372,-43.87
1,0.376,-43.87
1,0.381,-43.87
1,0.386,-43.87
1,0.391,-43.87
1,0.395,-43.87
1,0.400,-43.87
1,0.405,-43.87
1,0.409,-43.87
1,0.414,-43.87
1,0.419,-43.87
1,0.423,-43.87
1,0.428,-43.87
1,0.433,-43.87
1,0.437,-43.87
1,0.442,-43.87
1,0.447,-43.87
1,0.451,-43.87
1,0.456,-43.87
1,0.461,-43.87
1,0.466,-43.87
1,0.470,-43.87
1,0.475,-43.87
1,0.480,-43.87
1,0.484,-43.87
1,0.489,-43.87
1,0.493,-43.87
1,0.498,-43.87
1,0.503,-43.87
1,0.507,-43.87
1,0.512,-43.87
1,0.517,-43.87
1,0.521,-43.87
1,0.526,-43.87
1,0.530,-43.87
1,0.535,-43.87
1,0.540,-43.87
1,0.544,-43.87
1,0.549,-43.87
1,0.553,-43.87
1,0.558,-43.87
1,0.563,-43.87
1,0.567,-43.87
1,0.572,-43.87
1,0.577,-43.87
1,0.581,-43.87
1,0.586,-43.87
1,0.590,-43.87
1,0.595,-43.87
1,0.600,-43.87
1,0.604,-43.87
1,0.609,-43.87
1,0.614,-43.87
1,0.618,-43.87
1,0.623,-43.87
1,0.627,-43.87
1,0.632,-43.87
1,0.637,-43.87
1,0.641,-43.87
1,0.646,-43.87
1,0.651,-43.87
1,0.655,-43.87
1,0.660,-43.87
1,0.665,-43.87
1,0.669,-43.87
1,0.674,-43.87
1,0.679,-43.87
1,0.684,-43.87
1,0.688,-43.87
1,0.693,-43.87
1,0.698,-43.87
1,0.702,-43.87
1,0.707,-43.87
1,0.712,-43.87
1,0.716,-43.87
1,0.721,-43.87
1,0.726,-43.87
1,0.730,-43.87
1,0.735,-43.87
1,0.740,-43.87
1,0.744,-43.87
1,0.749,-43.87
1,0.754,-43.87
1,0.759,-43.87
1,0.763,-43.87
1,0.768,-43.87
1,0.773,-43.87
1,0.777,-43.87
1,0.782,-43.87
1,0.787,-43.87
1,0.791,-43.87
1,0.796,-43.87
1,0.801,-43.87
1,0.805,-43.87
1,0.810,-43.87
1,0.815,-43.87
1,0.819,-43.87
1,0.824,-43.87
1,0.829,-43.87
1,0.834,-43.87
1,0.838,-43.87
1,0.843,-43.87
1,0.848,-43.87
1,0.852,-43.87
1,0.857,-43.87
1,0.861,-43.87
1,0.866,-43.87
1,0.871,-43.87
1,0.875,-43.87
1,0.880,-43.87
1,0.885,-43.87
1,0.889,-43.87
1,0.894,-43.87
1,0.898,-43.87
1,0.903,-43.87
1,0.908,-43.87
1,0.912,-43.87
1,0.917,-43.87
1,0.921,-43.87
1,0.926,-43.87
1,0.931,-43.87
1,0.935,-43.87
1,0.940,-43.87
1,0.945,-43.87
1,0.949,-43.87
1,0.954,-43.87
1,0.958,-43.87
1,0.963,-43.87
1,0.968,-43.87
1,0.972,-43.87
1,0.977,-43.87
1,0.982,-43.87
1,0.986,-43.87
1,0.991,-43.87
1,0.995,-43.87
2,0.000,-43.84
2,0.005,-43.84
2,0.009,-43.84
2,0.014,-43.84
2,0.019,-43.84
2,0.024,-43.84
2,0.028,-43.84
2,0.033,-43.84
2,0.038,-43.84
2,0.042,-43.84
2,0.047,-43.84
2,0.052,-43.84
2,0.057,-43.84
2,0.061,-43.84
2,0.066,-43.84
2,0.071,-43.84
2,0.075,-43.84
2,0.080,-43.84
2,0.085,-43.84
2,0.090,-43.84
2,0.094,-43.84
2,0.099,-43.84
2,0.104,-43.84
2,0.108,-43.84
2,0.113,-43.84
2,0.118,-43.84
2,0.123,-43.84
2,0.127,-43.84
2,0.132,-43.84
2,0.137,-43.84
2,0.141,-43.84
2,0.146,-43.84
2,0.151,-43.84
2,0.156,-43.84
2,0.160,-43.84
2,0.165,-43.84
2,0.170,-43.84
2,0.174,-43.84
2,0.179,-43.84
2,0.184,-43.84
2,0.189,-43.84
2,0.193,-43.84
2,0.198,-43.84
2,0.203,-43.84
2,0.207,-43.84
2,0.212,-43.84
2,0.217,-43.84
2,0.222,-43.84
2,0.226,-43.84
2,0.231,-43.84
2,0.236,-43.84
2,0.240,-43.84
2,0.245,-43.84
2,0.250,-43.84
2,0.255,-43.84
2,0.259,-43.84
2,0.264,-43.84
2,0.269,-43.84
2,0.273,-43.84
2,0.278,-43.84
2,0.283,-43.84
2,0.287,-43.84
2,0.292,-43.84
2,0.297,-43.84
2,0.302,-43.84
2,0.306,-43.84
2,0.311,-43.84
2,0.316,-43.84
2,0.320,-43.84
2,0.325,-43.84
2,0.330,-43.84
2,0.334,-43.84
2,0.339,-43.84
2,0.344,-43.84
2,0.348,-43.84
2,0.353,-43.84
2,0.358,-43.84
2,0.362,-43.84
2,0.367,-43.84
2,0.372,-43.84
2,0.376,-43.84
2,0.381,-43.84
2,0.386,-43.84
2,0.391,-43.84
2,0.395,-43.84
2,0.400,-43.84
2,0.405,-43.84
2,0.409,-43.84
2,0.414,-43.84
2,0.419,-43.84
2,0.423,-43.84
2,0.428,-43.84
2,0.433,-43.84
2,0.437,-43.84
