jband,k,e
0,0.000,-43.40
0,0.005,-43.40
0,0.009,-43.40
0,0.014,-43.40
0,0.019,-43.40
0,0.024,-43.40
0,0.028,-43.40
0,0.033,-43.40
0,0.038,-43.40
0,0.042,-43.40
0,0.047,-43.40
0,0.052,-43.40
0,0.057,-43.40
0,0.061,-43.40
0,0.066,-43.40
0,0.071,-43.40
0,0.075,-43.40
0,0.080,-43.40
0,0.085,-43.40
0,0.090,-43.40
0,0.094,-43.40
0,0.099,-43.40
0,0.104,-43.40
0,0.108,-43.40
0,0.113,-43.40
0,0.118,-43.40
0,0.123,-43.40
0,0.127,-43.40
0,0.132,-43.40
0,0.137,-43.40
0,0.141,-43.40
0,0.146,-43.40
0,0.151,-43.40
0,0.156,-43.40
0,0.160,-43.40
0,0.165,-43.40
0,0.170,-43.40
0,0.174,-43.40
0,0.179,-43.40
0,0.184,-43.40
0,0.189,-43.40
0,0.193,-43.40
0,0.198,-43.40
0,0.203,-43.40
0,0.207,-43.40
0,0.212,-43.40
0,0.217,-43.40
0,0.222,-43.40
0,0.226,-43.40
0,0.231,-43.40
0,0.236,-43.40
0,0.240,-43.40
0,0.245,-43.40
0,0.250,-43.40
0,0.255,-43.40
0,0.259,-43.40
0,0.264,-43.40
0,0.269,-43.40
0,0.273,-43.40
0,0.278,-43.40
0,0.283,-43.40
0,0.287,-43.40
0,0.292,-43.40
0,0.297,-43.40
0,0.302,-43.40
0,0.306,-43.40
0,0.311,-43.40
0,0.316,-43.40
0,0.320,-43.40
0,0.325,-43.40
0,0.330,-43.40
0,0.334,-43.40
0,0.339,-43.40
0,0.344,-43.40
0,0.348,-43.40
0,0.353,-43.40
0,0.358,-43.40
0,0.362,-43.40
0,0.367,-43.40
0,0.372,-43.40
0,0.376,-43.40
0,0.381,-43.40
0,0.386,-43.40
0,0.391,-43.40
0,0.395,-43.40
0,0.400,-43.40
0,0.405,-43.40
0,0.409,-43.40
0,0.414,-43.40
0,0.419,-43.40
0,0.423,-43.40
0,0.428,-43.40
0,0.433,-43.40
0,0.437,-43.40
0,0.442,-43.40
0,0.447,-43.40
0,0.451,-43.40
0,0.456,-43.40
0,0.461,-43.40
0,0.466,-43.40
0,0.470,-43.40
0,0.475,-43.40
0,0.480,-43.40
0,0.484,-43.40
0,0.489,-43.40
0,0.493,-43.40
0,0.498,-43.40
0,0.503,-43.40
0,0.507,-43.40
0,0.512,-43.40
0,0.517,-43.40
0,0.521,-43.40
0,0.526,-43.40
0,0.530,-43.40
0,0.535,-43.40
0,0.540,-43.40
0,0.544,-43.40
0,0.549,-43.40
0,0.553,-43.40
0,0.558,-43.40
0,0.563,-43.40
0,0.567,-43.40
0,0.572,-43.40
0,0.577,-43.40
0,0.581,-43.40
0,0.586,-43.40
0,0.590,-43.40
0,0.595,-43.40
0,0.600,-43.40
0,0.604,-43.40
0,0.609,-43.40
0,0.614,-43.40
0,0.618,-43.40
0,0.623,-43.40
0,0.627,-43.40
0,0.632,-43.40
0,0.637,-43.40
0,0.641,-43.40
0,0.646,-43.40
0,0.651,-43.40
0,0.655,-43.40
0,0.660,-43.40
0,0.665,-43.40
0,0.669,-43.40
0,0.674,-43.40
0,0.679,-43.40
0,0.684,-43.40
0,0.688,-43.40
0,0.693,-43.40
0,0.698,-43.40
0,0.702,-43.40
0,0.707,-43.40
0,0.712,-43.40
0,0.716,-43.40
0,0.721,-43.40
0,0.726,-43.40
0,0.730,-43.40
0,0.735,-43.40
0,0.740,-43.40
0,0.744,-43.40
0,0.749,-43.40
0,0.754,-43.40
0,0.759,-43.40
0,0.763,-43.40
0,0.768,-43.40
0,0.773,-43.40
0,0.777,-43.40
0,0.782,-43.40
0,0.787,-43.40
0,0.791,-43.40
0,0.796,-43.40
0,0.801,-43.40
0,0.805,-43.40
0,0.810,-43.40
0,0.815,-43.40
0,0.819,-43.40
0,0.824,-43.40
0,0.829,-43.40
0,0.834,-43.40
0,0.838,-43.40
0,0.843,-43.40
0,0.848,-43.40
0,0.852,-43.40
0,0.857,-43.40
0,0.861,-43.40
0,0.866,-43.40
0,0.871,-43.40
0,0.875,-43.40
0,0.880,-43.40
0,0.885,-43.40
0,0.889,-43.40
0,0.894,-43.40
0,0.898,-43.40
0,0.903,-43.40
0,0.908,-43.40
0,0.912,-43.40
0,0.917,-43.40
0,0.921,-43.40
0,0.926,-43.40
0,0.931,-43.40
0,0.935,-43.40
0,0.940,-43.40
0,0.945,-43.40
0,0.949,-43.40
0,0.954,-43.40
0,0.958,-43.40
0,0.963,-43.40
0,0.968,-43.40
0,0.972,-43.40
0,0.977,-43.40
0,0.982,-43.40
0,0.986,-43.40
0,0.991,-43.40
0,0.995,-43.40
1,0.000,-43.40
1,0.005,-43.40
1,0.009,-43.40
1,0.014,-43.40
1,0.019,-43.40
1,0.024,-43.40
1,0.028,-43.40
1,0.033,-43.40
1,0.038,-43.40
1,0.042,-43.40
1,0.047,-43.40
1,0.052,-43.40
1,0.057,-43.40
1,0.061,-43.40
1,0.066,-43.40
1,0.071,-43.40
1,0.075,-43.40
1,0.080,-43.40
1,0.085,-43.40
1,0.090,-43.40
1,0.094,-43.40
1,0.099,-43.40
1,0.104,-43.40
1,0.108,-43.40
1,0.113,-43.40
1,0.118,-43.40
1,0.123,-43.40
1,0.127,-43.40
1,0.132,-43.40
1,0.137,-43.40
